SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
BAIS:9140:0EXW,Agile Project Management,Yvonne Galusha - Primary Instructor,,-,36.0,-,-,2.0,-,-,0.0,-,-,1.0,-,-,0.0,Fall,2023,1
BAIS:9400:0700,Professional Development Business Acumen,Kristine Arens - Primary Instructor,,-,35.0,-,-,1.0,-,-,1.0,-,-,0.0,-,-,0.0,Fall,2023,1
BIOL:1140:0A03,Human Biology: Nonmajors,Krista Osadchuk - Primary Instructor,,-,6.0,-,-,4.0,-,-,8.0,-,-,2.0,-,-,2.0,Fall,2023,1
BIOL:1140:0A04,Human Biology: Nonmajors,Krista Osadchuk - Primary Instructor,,-,8.0,-,-,5.0,-,-,4.0,-,-,3.0,-,-,2.0,Fall,2023,1
BIOL:1140:0A05,Human Biology: Nonmajors,Krista Osadchuk - Primary Instructor,,-,4.0,-,-,5.0,-,-,8.0,-,-,4.0,-,-,2.0,Fall,2023,1
BIOL:1140:0A08,Human Biology: Nonmajors,Krista Osadchuk - Primary Instructor,,-,3.0,-,-,11.0,-,-,7.0,-,-,1.0,-,-,2.0,Fall,2023,1
BIOL:1140:0A10,Human Biology: Nonmajors,Krista Osadchuk - Primary Instructor,,-,2.0,-,-,6.0,-,-,6.0,-,-,5.0,-,-,3.0,Fall,2023,1
BIOL:1140:0A12,Human Biology: Nonmajors,Krista Osadchuk - Primary Instructor,,-,10.0,-,-,10.0,-,-,1.0,-,-,2.0,-,-,1.0,Fall,2023,1
BIOL:1140:0A13,Human Biology: Nonmajors,Krista Osadchuk - Primary Instructor,,-,5.0,-,-,9.0,-,-,5.0,-,-,4.0,-,-,0.0,Fall,2023,1
BIOL:1140:0A14,Human Biology: Nonmajors,Krista Osadchuk - Primary Instructor,,-,7.0,-,-,4.0,-,-,6.0,-,-,2.0,-,-,1.0,Fall,2023,1
BIOL:1140:0A16,Human Biology: Nonmajors,Krista Osadchuk - Primary Instructor,,-,7.0,-,-,9.0,-,-,2.0,-,-,2.0,-,-,3.0,Fall,2023,1
BIOL:1141:0A03,Human Biology: Health Professions,Krista Osadchuk - Primary Instructor,,-,10.0,-,-,7.0,-,-,5.0,-,-,1.0,-,-,1.0,Fall,2023,1
BIOL:1141:0A04,Human Biology: Health Professions,Krista Osadchuk - Primary Instructor,,-,11.0,-,-,10.0,-,-,2.0,-,-,0.0,-,-,0.0,Fall,2023,1
BIOL:1141:0A05,Human Biology: Health Professions,Krista Osadchuk - Primary Instructor,,-,6.0,-,-,15.0,-,-,2.0,-,-,0.0,-,-,1.0,Fall,2023,1
BIOL:1141:0A09,Human Biology: Health Professions,Krista Osadchuk - Primary Instructor,,-,7.0,-,-,9.0,-,-,7.0,-,-,1.0,-,-,0.0,Fall,2023,1
