SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,IS_NEW
PSQF:4136:0EXW,Home/School/Community Partnerships,Jessica O'Bleness - Primary Instructor,,-,23.0,-,-,1.0,-,-,0.0,-,-,1.0,-,-,0.0,Spring,2024,1
PSQF:4143:0EXV,Introduction to Statistical Methods,Brandon LeBeau - Primary Instructor,,-,32.0,-,-,10.0,-,-,2.0,-,-,0.0,-,-,1.0,Spring,2024,1
PSQF:4740:0EXW,Issues in K-12 Assessment,Catherine Welch - Primary Instructor,,-,16.0,-,-,1.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:4760:0EXW,Participatory Learning and Media,Matthew Lira - Primary Instructor,,-,12.0,-,-,4.0,-,-,0.0,-,-,2.0,-,-,1.0,Spring,2024,1
PSQF:6235:0001,Multicultural Counseling,Julie Koch - Primary Instructor,,-,12.0,-,-,1.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:6243:0003,Intermediate Statistical Methods,Brandon LeBeau - Primary Instructor,,-,17.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:6249:0001,Factor Analysis and Structural Eq Models,Lesa Hoffman - Primary Instructor,,-,18.0,-,-,1.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:6262:0001,Item Response Theory,Deborah Harris - Primary Instructor,,-,10.0,-,-,0.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:6270:0001,Generalized Linear Models,Lesa Hoffman - Primary Instructor,,-,11.0,-,-,0.0,-,-,1.0,-,-,0.0,-,-,0.0,Spring,2024,1
PSQF:6281:0001,Cognitive Theories of Learning,Matthew Lira - Primary Instructor,,-,10.0,-,-,3.0,-,-,0.0,-,-,0.0,-,-,0.0,Spring,2024,1
